 ----------------------header-------------------------- 2018-08-07 16:48:52,030 [9] INFO  loginfo - 文件接收工具启动
2018-08-07 16:57:46,956 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,006 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,066 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,116 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,176 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,236 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,286 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,346 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,396 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,456 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,506 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,566 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,626 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,676 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,736 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,786 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,846 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,906 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:47,956 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,016 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,076 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,126 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,186 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,236 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,297 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,357 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,407 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,467 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,517 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,577 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,637 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,697 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,747 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,807 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,857 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,917 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:48,967 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,027 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,077 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,137 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,197 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,253 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,313 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,369 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,425 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,481 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,530 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,590 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,650 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,700 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,760 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,810 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,870 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,930 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:49,990 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,040 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,100 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,150 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,210 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,260 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,320 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,380 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,430 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,490 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,540 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,600 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,650 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,710 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,760 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,820 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,880 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,930 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:50,990 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,050 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,110 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,160 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,220 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,280 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,340 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,400 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,460 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,510 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,570 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,620 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,680 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,740 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,800 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,850 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,910 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:51,960 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,020 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,070 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,130 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,190 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,240 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,300 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,350 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,410 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,460 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,520 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,580 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,640 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,690 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,750 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,800 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,860 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,920 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:52,970 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,030 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,090 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,140 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,200 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,250 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,310 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,370 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,420 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,480 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,530 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,590 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,640 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,700 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,760 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,820 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,870 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,930 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:53,980 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,040 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,120 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,150 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,210 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,271 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,326 [17] INFO  loginfo - 收到数据文件
2018-08-07 16:57:54,382 [17] INFO  loginfo - 收到数据文件
