 ----------------------header-------------------------- 2018-08-08 08:46:59,260 [8] INFO  loginfo - 文件接收工具启动
2018-08-08 08:49:39,875 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:39,895 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:39,951 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,006 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,062 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,117 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,173 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,228 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,287 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,343 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,402 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,458 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,518 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,573 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,629 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,684 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,740 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,796 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,851 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,912 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:40,967 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,023 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,078 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,138 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,194 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,249 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,305 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,360 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,416 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,472 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,527 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,583 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,638 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,694 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,749 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,809 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,865 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,920 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:41,976 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,032 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,088 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,148 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,208 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,263 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,319 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,374 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,435 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,490 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,546 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,602 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,657 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,717 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,773 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,828 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,884 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,939 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:42,995 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,050 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,106 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,162 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,217 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,273 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,328 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,388 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,445 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,500 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,556 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,611 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,667 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,726 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,782 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,838 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,893 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:43,949 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,009 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,064 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,121 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,177 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,233 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,288 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,344 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,399 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,455 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,514 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,569 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,625 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,680 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,736 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,791 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,851 [14] INFO  loginfo - 收到数据文件
2018-08-08 08:49:44,907 [14] INFO  loginfo - 收到数据文件
